job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,posted_date,source_platform,education_min,salary_avg_numeric,experience_group,req_sales,req_excel_office,req_komunikasi,req_english
Graphic Design,PT Asia Garments Accesories,Jakarta Pusat,Tidak Disebutkan,2 tahun,"S1, D3, Apa Saja",Rp 3.500.000 - Rp 5.000.000,"Mampu menciptakan konsep desain dengan tema yang menarik | Membuat desain lainnya sesuai dengan arahan | Mengembangkan konsep desain grafis yang kreatif dan inovatif, termasuk namun tidak terbatas pada desain logo, poster, materi pemasaran, dan elemen visual lainnya. | Berkolaborasi dengan tim proyek untuk memahami kebutuhan klien dan memastikan desain sesuai dengan tujuan proyek. | Menerapkan pengetahuan mendalam tentang prinsip desain, tipografi, dan warna untuk menciptakan desain yang estetis dan efektif. | Mengidentifikasi tren desain terkini dan menerapkan inovasi untuk meningkatkan kualitas desain dan mencapai hasil terbaik.","Pengalaman di bidang Digital Printing (Sublim dan DTF) | Pria dan Wanit usia max. 35 tahun | Menguasai program desain seperti Adobe Photoshop, Illustrator, Corel Draw | Memiliki selera dan imajinasi desain yang up to date | Memiliki inisiatif tinggi dan atensi terhadap detail",2026-03-03,Karir.com,Apa Saja,4250000.0,Junior,0,0,0,0
Gudang (Pekalongan),PT Asia Garments Accesories,Pekalongan,Tidak Disebutkan,1 tahun,"S1, D3, SMA, Apa Saja",Rp 2.000.000 - Rp 2.500.000,"Pria, usia 20-35 tahun | Fisik tubuh kuat dan sehat | Memiliki kemampuan operasional gudang yang bagus & ketelitian yg tinggi dalam perhitungan barang | Bisa kerja sama tim & berkomunikasi dengan bahasa yang baik (sopan dan ramah) | Terbiasa kerja fisik dan data serta memiliki kecerdasan emosi yang baik | Karakteristik lebih dominan aktif, detail dan teliti | Tidak mengidap penyakit yang menggangu kinerja kesehariannya | Domisili pekalongan sekitarnya","Tanggung Jawab : | Mencari permintaan barang yang dibutuhkan dari internal tim | Menyaipakan barang pesanan mulai dari pencarian, penghitungan, pengemasan & bantu buat pengiriman | Loading & unloading barang gudang yang datang atau keluar | Memastikan & mencocokan antara barang dengan dokumen sama serta ada terhadap setiap barang masuk & keluar, secara pendataan barang harus ada arsip dokumennya (Nota/Surat Jalan/Tanda Terima) | Bertanggung jawab terhadap barang yang dihandle mulai dari permintaan - loading ke proses pengiriman | Mendata barang sesuai dengan rak dan plannogramnya (harus ikutin sistem yang sudah ada) | Mengupdate kartu stock gudang dan buku stock fisik gudang untuk administrasi data barang masuk, keluar dan stock | Menjaga kebersihan barang mulai dari penempatan dan kemasan barang pada area gudang | Memperhatikan data barang yang sudah terlalu lama digudang untuk bisa diinfo kelanjutan status barangnya | Merapihkan barang secara posisi peletakan, pengemasan yang tidak sesuai, kelompok barangnya, dan merapihkan juga sample yang terdia di toko | Memberikan data kondisi barang sesuai yang terjadi dilapangan dengan tim toko/MD | Menghandle permintaan barang cabang yang diminta oleh cabang-cabang perusahaan lainnya | Melakukan stock opname berkala sesuai dengan instruksi dan arahan",2026-03-03,Karir.com,Apa Saja,2250000.0,Junior,0,0,0,0
Teknisi Maintenance,PT Bina Talenta,Bogor,Tidak Disebutkan,2 tahun,"D3, SMA",Rp 5.100.000 - Rp 5.161.769,"Pendidikan min. SMK / D3 Teknik Mesin, Teknik Elektro, Mekatronika, Teknik Industri (khusus TPM support) | Diutamakan memiliki pengalaman sebagai teknisi pemeliharaan di industri manufaktur (lebih disukai industri otomotif). | Keterampilan Teknis:  | Memahami gambar teknik, diagram kelistrikan, dan manual mesin. | Mampu menggunakan alat tangan (hand tools) dan alat ukur presisi. | Menguasai perbaikan sistem hidrolik, pneumatik, dan elektrikal. | Kemampuan troubleshooting robotika dan PLC dasar, Penanganan inverter & motor servo | Sistem sensor & kontrol Otomatis  | Bersedia bekerja Shifting ( 3 Shift ) | Lokasi bekerja : Wanaherang - Gn. Putri Kab. Bogor",Perawatan Preventif (Planned Preventative Maintenance/PPM) | Perbaikan Breakdown (Corrective Maintenance) | Inspeksi Fasilitas | Dokumentasi dan Laporan | Instalasi Mesin Baru,2026-03-03,Karir.com,SMA/SMK,5130884.5,Junior,0,0,0,0
English Tutor [Bandung],Harvard Cinderella English Course,Bandung,Tidak Disebutkan,,"S1, D3",Rp 3.000.000 - Rp 7.500.000,"D3 or S1 graduates of any majors (Independent learners are very much welcome) | Loves films, music and books. | Good interpersonal & communication skills. | Displaying the quality of discipline",Tutoring online and offline classes. | Creating a stimulating environment for our students for their enjoyment in learning English. | All teaching materials are provided.,2026-03-03,Karir.com,D3,5250000.0,Unknown,0,0,1,1
Kitchen Cook,PT Asia Garments Accesories,Jakarta Pusat,Tidak Disebutkan,1 tahun,"S1, D3, SMA",Rp 3.000.000 - Rp 5.000.000,"Minimal SMA/Sederajat diutamakan memiliki pendidikan Tata boga/perhotelan/ dan sejenisnya | Memiliki latar belakang pendidikan terakhir dengan food & service product | Mempunyai pengalaman minimal 3 tahun sebagai Cook, Koki, dan SPV Cafe/restaurant diutamakan | Mempunyai knowledge basic operasional food and beverage | Mahir berbicara bahasa inggris lisan dan tulisan",Bertanggung jawab atas operasional kitchen dan café | Dapat Memasak | Melalukan penyetokan bahan dan pengecekan bahan masakan | Bertanggung jawab atas control makanan dan kebersihan kitchen dan café | Dapat menjalin hubungan baik Supplier,2026-03-03,Karir.com,SMA/SMK,4000000.0,Junior,0,0,0,1
Sales,PT Hakiki Donarta,Surabaya,Tidak Disebutkan,,"S1, SMA",Rp 4.500.000 - Rp 7.000.000,"Pria/Wanita | Usia Maks. 35 Tahun | Mampu bekerja dalam Team ataupun Individu | Memiliki kemampuan persuasif yang bagus | Mampu bekerja dalam target dan bertanggung jawab atas pencapaian target penjualan | Jujur, Cekatan, Sehat dan Bertanggung Jawab | Memiliki SIM C dan A",Mencari customer baru | menawarkan barang | mempromosikan barang baru | sebagai product communicator,2026-03-03,Karir.com,SMA/SMK,5750000.0,Unknown,0,0,0,0
Marketing Sales - Jakarta,PT King Sun Indo Utama,Jakarta Pusat,Tidak Disebutkan,2 tahun,"S1, D3, SMA",Rp 5.000.000 - Rp 5.500.000,"Kandidat Ideal: | · Pria/Wanita, pendidikan min. D3/S1 Teknik (atau SMA/SMK dengan pengalaman relevan). | · Berpengalaman sebagai Field Sales B2B (ke pabrik/kontraktor/konsultan), diutamakan dari industri konstruksi | · Memiliki motor & SIM C, dan SANGAT BISA BEKERJA DI LAPANGAN (80% waktu), menghadapi cuaca apapun di wilayah Jabodetabek. | · Berpenampilan rapi, percaya diri dan memiliki etika komunikasi yang baik.","Kami, penyedia solusi cooling tower untuk industri, membuka kesempatan bagi tenaga penjualan lapangan yang tangguh. | Tanggung Jawab: | · Melakukan kunjungan rutin untuk menjual dan membina relasi dengan klien korporat. | · Melakukan Presentasi solusi produk secara teknis dan meyakinkan. | · Membangun pipeline dan mencapai target penjualan. | Bagi yang berminat dan memenuhi kriteria, kirimkan CV & foto terbaru ke kami. | Hanya kandidat yang shortlist akan dihubungi.",2026-03-03,Karir.com,SMA/SMK,5250000.0,Junior,1,0,1,0
Project management officer implementasi sistem informasi rumah sakit,PT Daya Medika Pratama,Bandung,Tidak Disebutkan,2 tahun,S1,Rp 6.000.000 - Rp 10.000.000,Project manager requirements: | Proven working experience in project management | Excellent client-facing and internal communication skills | Excellent written and verbal communication skills | Solid organizational skills including attention to detail and multitasking skills | Strong working knowledge of Microsoft Office | Project Management Professional (PMP) / PRINCE II certification is a plus | Bachelor's Degree in appropriate field of study or equivalent work experience | Experience with project management software tools,"Project manager responsibilities: | Coordinate internal resources and third parties/vendors for the flawless execution of multiple projects | Ensure that all projects are delivered on-time, within scope and within budget | Assist in the definition of project scope and objectives, involving all relevant internal stakeholders and ensuring technical feasibility | Ensure resource availability and allocation | Develop a detailed project plan to monitor and track progress | Manage changes to the project scope, project schedule, and project costs using appropriate verification techniques | Measure performance using appropriate project management tools and techniques | Report and escalate to management as needed | Manage the relationship with the client and relevant stakeholders | Perform risk management to minimize potential risks | Establish and maintain relationships with third parties/vendors | Create and maintain comprehensive project documentation | Meet with clients to take detailed ordering briefs and clarify specific requirements of each project | Delegate project tasks based on junior staff members' individual strengths, skill sets, and experience levels | Track project performance, specifically to analyze the successful completion of short and long-term goals | Meet budgetary objectives and make adjustments to project constraints based on financial analysis | Develop comprehensive project plans to be shared with clients as well as other staff members | Use and continually develop leadership skills | Attend conferences and training as required to maintain proficiency | Perform other related duties as assigned | Develop spreadsheets, diagrams and process maps to document needs",2026-03-03,Karir.com,S1,8000000.0,Junior,0,1,1,0
Sistem informasi rumah sakit: staff implementasi dan support,PT Daya Medika Pratama,Jakarta Pusat,Tidak Disebutkan,2 tahun,"S1, D3",Rp 5.000.000 - Rp 8.000.000,"Responsibilities: | Meeting with clients following the sale of software packages to collect data and other information required to customize software systems. | Creating a project plan for each client, detailing the tasks that need to be completed for the timely installation of customized software systems. | Communicating with clients throughout the software customization process to obtain feedback and approval. | Customizing software systems based on clients’ individual needs and specifications. | Educating clients via training on how to use purchased software systems and customized system features. | Creating a specialized document for each client as required, detailing all customizations made. | Installing customized software systems and all necessary components. | Ensuring that the project team is aware of key deliverables and project milestones. | Providing cost and time estimates to clients who require additional customizations to be done. | Providing 2nd level support after system successfully implemented. | Implementation Specialist Requirements: | Bachelor's degree in computer science, engineering, computer information science, information technology, or a related field. | Proven experience working as an system implementation and support specialist | Sound technical knowledge. | Proficiency in all Microsoft Office and Google Workspace applications. | The ability to multitask effectively. | The ability to work independently and as part of a team. | Strong analytical and problem-solving skills. | Excellent organizational and time management skills. | Exceptional communication and customer service skills. | Detail-oriented.","We are seeking a highly skilled system implementation and support specialist to implement and support software systems for our clients. In this role, you will demonstrate how software systems work to clients and their users, and answer questions relating to implementation. You will also be required to ensure the client is satisfied with the implementation. | Our products as follows: | Hospital Information System (HIS). | Insurance System. | Enterprise Resource Planning (ERP). | Education Manage. | To be successful as an implementation specialist, you should be proficient with system functionalities, and able to work well as part of a team. Ultimately, an outstanding system implementation and support specialist should demonstrate sound technical knowledge as well as exceptional analytical, communication, and customer service skills. | A brief about us: We have a very fun yet disciplined culture, a friendly environment that helps and pushes you to grow; and policies that make it not just possible but mandatory to learn, push your limits, and do great work that you will be proud of. We help and teach one another.",2026-03-03,Karir.com,D3,6500000.0,Junior,0,1,1,0
Medical Artificial Intelligence (AI) Engineer,PT Daya Medika Pratama,Bandung,Tidak Disebutkan,2 tahun,"S2, S1, D3",Rp 6.000.000 - Rp 10.000.000,"Skills and Qualifications | Technical Expertise: | Strong proficiency in programming languages like Python, R, or Java. | Experience with machine learning libraries and frameworks | Understanding of deep learning architectures and model training techniques. | Familiarity with cloud computing platforms (AWS, Azure, GCP) is a plus. | Domain Knowledge: | Basic understanding of medical terminology and healthcare processes. | Ability to interpret and analyze medical data responsibly. | Additional Skills: | Excellent communication and collaboration skills. | Problem-solving and critical thinking abilities. | Attention to detail and strong work ethic. | MSc or PhD in Computer Science, Engineering, or a related field, with experience in AI, is preferred.","Responsibilities | Design, develop, and implement cutting-edge AI solutions for a range of healthcare challenges, including disease prediction, clinical decision support, and medical image analysis. | Collaborate closely with clinicians, data scientists, and software engineers to ensure your solutions meet the needs of the healthcare community. | Build and maintain robust data pipelines for ingesting, cleaning, and pre-processing medical data. | Develop and train machine learning models using supervised and unsupervised learning techniques. | Evaluate and optimize model performance, ensuring real-world applicability and clinical relevance. | Participate in the deployment and integration of AI solutions into clinical workflows. | Stay up-to-date on the latest advancements in medical AI and contribute to the ongoing development of our AI capabilities.",2026-03-03,Karir.com,D3,8000000.0,Junior,0,0,1,0
