job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,posted_date,source_platform
Simulation Engineer (AI-Assisted CFD),PT StoryG Jaya Indonesia,"Singosari, Kab. Malang, Jawa Timur",Full Time,3-5 tahun,Bachelor Degree,Rp 5.000.000 - Rp 8.000.000,"Computer Vision, Artificial Intelligence, Data Engineering, Data Mining, Deep Learning, Machine Learning, Natural Language Processing (NLP), Pattern Recognition, Neural Network, Redis",,2026-03-04,Glints
Sales Representative,Cv Kurnia Jaya Perkasa,"Semarang Timur, Semarang, Jawa Tengah",Full Time,1-3 tahun,Bachelor Degree,Rp 3.000.000 - Rp 4.500.000,"Sales and Marketing, Sales Analysis, Sales Management, Sales Strategy, Communication Skills","Menawarkan dan menjual produk kepada pelanggan ( offline dan online ) | Menjaga hubungan baik dengan pelanggan dan memberikan layanan purna jual. | Melakukan follow-up terhadap prospek dan pelanggan yang ada. | Mencari pelanggan baru untuk memperluas basis pelanggan perusahaan. | Menginput orderan dan data pelanggan ke dalam sistem yang digunakan perusahaan | Melaporkan hasil evaluasi kinerja, kendala yang dihadapi, masukan dari pelanggan, dan pengamatan lapangan kepada atasan. ( Daily report) | Job Requirements | Pengalaman minimal 1 tahun di bidang yang sama | Pendidikan minimal S1 | Terbiasa menggunakan komputer / Input data CRM | Mempunyai kemampuan komunikasi dan negosiasi yang baik | Mampu bekerja secara individu maupun dalam tim. | Terbiasa bekerja dengan target dan memiliki semangat tinggi untuk mencapai hasil terbaik. | Mampu menggunakan media digital untuk promosi dan pemasaran (WhatsApp, Instagram, dll).",2026-03-03,Glints
Supir Taksi,PT.Bluebird Group Tbk,"Batuceper, Tangerang, Banten",Full Time,0-65 tahun,Primary School,Rp 4.000.000 - Rp 6.000.000,"Public Speaking, Customer Service, Driving",,2026-03-03,Glints
Manager Operasional,Sambal bakar Mang Ujang,"Sukajadi, Bandung, Jawa Barat",Full Time,10-50 tahun,Bachelor Degree,Rp 9.000.000 - Rp 12.000.000,"Presentation Skills, Restaurant Management, Analytical Skills, Leadership, Communication Skills, Creative Thinking, Problem Solving","Mengelola dan mengawasi seluruh operasional harian di beberapa outlet agar berjalan efektif, efisien, dan sesuai standar perusahaan. | Mengembangkan serta mengimplementasikan strategi operasional untuk mencapai target penjualan, profit, dan KPI perusahaan. | Mengontrol dan mengoptimalkan biaya operasional (food cost, COGS, labor cost, dan overhead) sesuai dengan budget yang ditetapkan. | Memastikan kualitas produk, standar pelayanan, kebersihan, dan konsistensi brand di seluruh outlet. | Menjamin penerapan SOP, standar keamanan pangan, sanitasi, serta kepatuhan terhadap regulasi pemerintah. | Menganalisis performa outlet melalui laporan harian, mingguan, dan bulanan serta memberikan action plan perbaikan. | Memimpin, membimbing, dan mengembangkan tim supervisor serta staf operasional untuk mencapai performa terbaik. | Mengidentifikasi dan menyelesaikan permasalahan operasional secara cepat dan efektif. | Berkolaborasi dengan bagian lain untuk mendukung kelancaran operasional. | Terlibat dalam proses pembukaan outlet baru (pre-opening), termasuk perencanaan, rekrutmen, dan pelatihan tim.",2026-03-03,Glints
Host Live streamer,Cv. Precious Stone,"Sambikerep, Surabaya, Jawa Timur",Full Time,1-3 tahun,High School,Rp 2.000.000 - Rp 4.000.000,"Live Streaming, TikTok, Marketing Communications, Communication Skills, Public Speaking, Social Media",,2026-03-03,Glints
Admin Operational,Tridi Print Aja,"Penjaringan, Jakarta Utara, DKI Jakarta",Full Time,0-1 tahun,High School,Rp 2.500.000 - Rp 3.000.000,"CAD, 3D Modeling, AutoCAD, 3D Rendering, 3D Animation, 3D Design, 3D Printing",,2026-03-03,Glints
E-Commerce Specialist,PT Poly Stamino Indonesia,"Kalideres, Jakarta Barat, DKI Jakarta",Full Time,1-3 tahun,High School,Rp 2.000.000 - Rp 4.000.000,"Microsoft Word, Customer Service, Microsoft Excel, Microsoft Office, Teamwork, Administration",,2026-03-03,Glints
Host Live Streaming WFH,Namari the Label,"Cengkareng, Jakarta Barat, DKI Jakarta",Full Time,1-3 tahun,High School,Rp 3.000.000 - Rp 7.000.000,"Host, Customer Service, Presentation Skills, Public Speaking",,2026-03-03,Glints
Penjaga Rumah / PRT (Pekerja Rumah Tangga),CV. Sarana Derma Makmur,"Cilandak, Jakarta Selatan, DKI Jakarta",Full Time,3-5 tahun,High School,Rp 2.000.000 - Rp 2.300.000,"Cleaning Service, Security Management, Teamwork",Menjadi PRT & penjaga rumah atasan | Membersihkan seluruh area kaca rumah | Membersihkan area outdoor dan kolam | Membersihkan area gudang dan genset | Merawat taman dan tanaman,2026-03-03,Glints
host live streaming,Probyte Agency,"Limo, Depok, Jawa Barat",Full Time,1-3 tahun,High School,Rp 3.000.000 - Rp 10.000.000,"Live Streaming, Host, Marketing Communications, Public Speaking",,2026-03-03,Glints
host live streaming,Probyte Agency,"Pamulang, Tangerang Selatan, Banten",Full Time,1-3 tahun,High School,Rp 3.000.000 - Rp 10.000.000,"Marketing Communications, Public Speaking, Host",,2026-03-03,Glints
"Sales Besi Baja (Weaplate, Plat SS400 & Kapal, SPHC, SPCC, Coil)",PT. China Fine Steel Share,"Penjaringan, Jakarta Utara, DKI Jakarta",Contract,1-3 tahun,High School,Rp 6.000.000 - Rp 9.000.000,"Sales and Marketing, Coil Galvanis, Plat Baja, Plat Spcc, Galvanis, Kabel Tray, Baja, besi, Hollow, B2B Sales, Coil Galvalum, Cnp, Steel, Plat Kapal, Kawat, Plat Sphc, Pipa Seamless, B2C Sales, Plat Ss400, Wearplate",,2026-03-03,Glints
